sourceid-year-oa,source_id,source_title,journal_name,issn_print,issn_e,parent_publisher,oa_status,pub_year,n_doi,apc_lower_total,apc_lower,apc_lower_source,apc_upper_total,apc_upper,apc_upper_source,notes
12007_2015_hybrid,12007,International Journal of Occupational Safety and Ergonomics,International Journal of Occupational Safety and Ergonomics,1080-3548,2376-9130,Taylor & Francis,hybrid,2015,5,14750,2950,Matthias: actual,14750,2950,Matthias: actual,
12007_2016_hybrid,12007,International Journal of Occupational Safety and Ergonomics,International Journal of Occupational Safety and Ergonomics,1080-3548,2376-9130,Taylor & Francis,hybrid,2016,14,41300,2950,Matthias: actual,41300,2950,Matthias: actual,
12007_2017_hybrid,12007,International Journal of Occupational Safety and Ergonomics,International Journal of Occupational Safety and Ergonomics,1080-3548,2376-9130,Taylor & Francis,hybrid,2017,4,11800,2950,Matthias: actual,11800,2950,Matthias: actual,
12007_2018_hybrid,12007,International Journal of Occupational Safety and Ergonomics,International Journal of Occupational Safety and Ergonomics,1080-3548,2376-9130,Taylor & Francis,hybrid,2018,7,20650,2950,Matthias: actual,20650,2950,Matthias: actual,
12031_2016_hybrid,12031,International Journal of Pavement Engineering,International Journal of Pavement Engineering,1029-8436,1477-268X,Taylor & Francis,hybrid,2016,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
12038_2017_hybrid,12038,International Journal of Performance Analysis in Sport,International Journal of Performance Analysis in Sport,2474-8668,1474-8185,Taylor & Francis,hybrid,2017,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
12040_2016_hybrid,12040,International Journal of Pest Management,International Journal of Pest Management,0967-0874,1366-5863,Taylor & Francis,hybrid,2016,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
12040_2017_hybrid,12040,International Journal of Pest Management,International Journal of Pest Management,0967-0874,1366-5863,Taylor & Francis,hybrid,2017,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
12044_2016_hybrid,12044,International Journal of Philosophical Studies,International Journal of Philosophical Studies,0967-2559,1466-4542,Taylor & Francis,hybrid,2016,3,8850,2950,Matthias: actual,8850,2950,Matthias: actual,
12044_2017_hybrid,12044,International Journal of Philosophical Studies,International Journal of Philosophical Studies,0967-2559,1466-4542,Taylor & Francis,hybrid,2017,2,5900,2950,Matthias: actual,5900,2950,Matthias: actual,
